Municipio de destino,Periodo,Total
24089 León,2024M08,40581
24089 León,2024M07,42752
24089 León,2024M06,50963
24089 León,2024M05,48775
24089 León,2024M04,47446
24089 León,2024M03,56751
24089 León,2024M02,41577
24089 León,2024M01,48549
24089 León,2023M12,54873
24089 León,2023M11,53617
24089 León,2023M10,61850
24089 León,2023M09,42140
24089 León,2023M08,42087
24089 León,2023M07,44897
24089 León,2023M06,47099
24089 León,2023M05,47951
24089 León,2023M04,59344
24089 León,2023M03,48411
24089 León,2023M02,43183
24089 León,2023M01,44739
24089 León,2022M12,51139
24089 León,2022M11,51098
24089 León,2022M10,52914
24089 León,2022M09,43261
24089 León,2022M08,38556
24089 León,2022M07,40117
24089 León,2022M06,44728
24089 León,2022M05,46853
24089 León,2022M04,51578
24089 León,2022M03,41717
24089 León,2022M02,38039
24089 León,2022M01,38936
